repository_name,release_id,tag_name_clean,cycle_end,cycle_start,cycle_length_days
kubernetes/kubernetes,159979764,1.27.15,2024-06-11 23:01:10+00:00,2024-05-15 08:02:18+00:00,27.624212962962964
kubernetes/kubernetes,159982712,1.28.11,2024-06-11 23:48:05+00:00,2024-06-11 23:01:10+00:00,0.032581018518518516
kubernetes/kubernetes,160002003,1.29.6,2024-06-12 03:42:42+00:00,2024-06-11 23:48:05+00:00,0.16292824074074075
kubernetes/kubernetes,160003381,1.30.2,2024-06-12 04:05:34+00:00,2024-06-12 03:42:42+00:00,0.01587962962962963
kubernetes/kubernetes,165784293,1.29.7,2024-07-17 07:26:10+00:00,2024-06-12 04:05:34+00:00,35.13930555555555
kubernetes/kubernetes,165788281,1.27.16,2024-07-17 07:48:27+00:00,2024-07-17 07:26:10+00:00,0.015474537037037037
kubernetes/kubernetes,165818269,1.28.12,2024-07-17 10:52:04+00:00,2024-07-17 07:48:27+00:00,0.12751157407407407
kubernetes/kubernetes,165829199,1.30.3,2024-07-17 11:51:07+00:00,2024-07-17 10:52:04+00:00,0.04100694444444444
kubernetes/kubernetes,169974073,1.31.0,2024-08-13 13:47:21+00:00,2024-07-17 11:51:07+00:00,27.080717592592592
kubernetes/kubernetes,170265603,1.30.4,2024-08-14 22:10:55+00:00,2024-08-13 13:47:21+00:00,1.349699074074074
kubernetes/kubernetes,170275415,1.29.8,2024-08-15 01:15:29+00:00,2024-08-14 22:10:55+00:00,0.12817129629629628
kubernetes/kubernetes,170278324,1.28.13,2024-08-15 02:04:06+00:00,2024-08-15 01:15:29+00:00,0.033761574074074076
kubernetes/kubernetes,174563931,1.28.14,2024-09-11 13:56:41+00:00,2024-08-15 02:04:06+00:00,27.494849537037037
kubernetes/kubernetes,174658124,1.29.9,2024-09-12 00:21:51+00:00,2024-09-11 13:56:41+00:00,0.4341435185185185
kubernetes/kubernetes,174660375,1.31.1,2024-09-12 01:03:04+00:00,2024-09-12 00:21:51+00:00,0.028622685185185185
kubernetes/kubernetes,174668094,1.30.5,2024-09-12 02:55:16+00:00,2024-09-12 01:03:04+00:00,0.07791666666666666
kubernetes/kubernetes,181359779,1.28.15,2024-10-23 04:35:01+00:00,2024-09-12 02:55:16+00:00,41.069270833333334
kubernetes/kubernetes,181359964,1.29.10,2024-10-23 04:37:33+00:00,2024-10-23 04:35:01+00:00,0.0017592592592592592
kubernetes/kubernetes,181360153,1.30.6,2024-10-23 04:40:16+00:00,2024-10-23 04:37:33+00:00,0.0018865740740740742
kubernetes/kubernetes,181442196,1.31.2,2024-10-23 12:18:35+00:00,2024-10-23 04:40:16+00:00,0.31827546296296294
kubernetes/kubernetes,186527464,1.29.11,2024-11-20 23:36:18+00:00,2024-10-23 12:18:35+00:00,28.470636574074074
kubernetes/kubernetes,186532670,1.30.7,2024-11-21 00:46:53+00:00,2024-11-20 23:36:18+00:00,0.0490162037037037
kubernetes/kubernetes,186534409,1.31.3,2024-11-21 01:12:52+00:00,2024-11-21 00:46:53+00:00,0.01804398148148148
kubernetes/kubernetes,190042097,1.29.12,2024-12-10 19:34:30+00:00,2024-11-21 01:12:52+00:00,19.76502314814815
kubernetes/kubernetes,190042332,1.30.8,2024-12-10 19:35:54+00:00,2024-12-10 19:34:30+00:00,0.0009722222222222222
kubernetes/kubernetes,190045272,1.31.4,2024-12-10 19:52:59+00:00,2024-12-10 19:35:54+00:00,0.011863425925925927
kubernetes/kubernetes,190303378,1.32.0,2024-12-11 21:13:11+00:00,2024-12-10 19:52:59+00:00,1.0556944444444445
kubernetes/kubernetes,194998161,1.32.1,2025-01-15 20:37:27+00:00,2024-12-11 21:13:11+00:00,34.97518518518518
kubernetes/kubernetes,195004244,1.31.5,2025-01-15 21:11:47+00:00,2025-01-15 20:37:27+00:00,0.023842592592592592
kubernetes/kubernetes,195009621,1.30.9,2025-01-15 21:49:02+00:00,2025-01-15 21:11:47+00:00,0.025868055555555554
kubernetes/kubernetes,195009966,1.29.13,2025-01-15 21:51:33+00:00,2025-01-15 21:49:02+00:00,0.0017476851851851852
kubernetes/kubernetes,200050412,1.30.10,2025-02-13 08:26:30+00:00,2025-01-15 21:51:33+00:00,28.4409375
kubernetes/kubernetes,200050943,1.29.14,2025-02-13 08:29:21+00:00,2025-02-13 08:26:30+00:00,0.001979166666666667
kubernetes/kubernetes,200050980,1.31.6,2025-02-13 08:29:33+00:00,2025-02-13 08:29:21+00:00,0.0001388888888888889
kubernetes/kubernetes,200066707,1.32.2,2025-02-13 09:39:03+00:00,2025-02-13 08:29:33+00:00,0.04826388888888889
kubernetes/kubernetes,205164533,1.29.15,2025-03-12 00:36:03+00:00,2025-02-13 09:39:03+00:00,26.622916666666665
kubernetes/kubernetes,205171531,1.30.11,2025-03-12 01:38:36+00:00,2025-03-12 00:36:03+00:00,0.0434375
kubernetes/kubernetes,205178168,1.31.7,2025-03-12 02:56:26+00:00,2025-03-12 01:38:36+00:00,0.054050925925925926
kubernetes/kubernetes,205181589,1.32.3,2025-03-12 03:32:51+00:00,2025-03-12 02:56:26+00:00,0.02528935185185185
kubernetes/kubernetes,214087468,1.32.4,2025-04-23 02:21:09+00:00,2025-03-12 03:32:51+00:00,41.950208333333336
kubernetes/kubernetes,214087582,1.31.8,2025-04-23 02:22:41+00:00,2025-04-23 02:21:09+00:00,0.0010648148148148149
kubernetes/kubernetes,214087590,1.30.12,2025-04-23 02:22:47+00:00,2025-04-23 02:22:41+00:00,6.944444444444444e-05
kubernetes/kubernetes,214300334,1.33.0,2025-04-23 17:44:49+00:00,2025-04-23 02:22:47+00:00,0.6403009259259259
kubernetes/kubernetes,218918759,1.33.1,2025-05-15 17:49:01+00:00,2025-04-23 17:44:49+00:00,22.002916666666668
kubernetes/kubernetes,218919244,1.32.5,2025-05-15 17:51:43+00:00,2025-05-15 17:49:01+00:00,0.001875
kubernetes/kubernetes,218919439,1.31.9,2025-05-15 17:52:40+00:00,2025-05-15 17:51:43+00:00,0.0006597222222222222
kubernetes/kubernetes,218920135,1.30.13,2025-05-15 17:56:34+00:00,2025-05-15 17:52:40+00:00,0.0027083333333333334
