repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count,split,had_commit_activity,had_pr_activity,had_contributor_activity,has_prior_release_history,has_prior_release,open_bugs_at_release_repo_z,prior_releases_avg_bugs_repo_z,repo_kubernetes/kubernetes,repo_microsoft/vscode
kubernetes/kubernetes,160002003,0.1629282407407407,0,235,2.0,3.0,0.6666666666666666,3313.319722222222,3313.319722222222,2.0,0.0,0.0,0.5,1939,819,2024-06-12 03:42:42+00:00,74.0,0.0,112.25,True,97.640350877193,228,validation,1,1,1,1,1,0.8328716235499555,-1.266677333050723,1,0
kubernetes/kubernetes,160003381,0.0158796296296296,0,236,1.0,1.0,1.0,5.657222222222222,5.657222222222222,1.0,0.0,0.0,1.0,1939,819,2024-06-12 04:05:34+00:00,74.0,0.0,112.25,True,97.640350877193,228,validation,1,1,1,1,1,0.8328716235499555,-1.266677333050723,1,0
kubernetes/kubernetes,165784293,35.13930555555555,0,241,433.0,481.0,0.6777546777546778,420.9667893660532,83.31583333333333,126.0,27.0,0.2142857142857142,0.0623556581986143,1936,802,2024-07-17 07:26:10+00:00,80.0,0.0,112.25,True,96.64135021097046,237,validation,1,1,1,1,1,0.524106601447798,-1.3284985612844553,1,0
kubernetes/kubernetes,165788281,0.015474537037037,0,242,0.0,1.0,0.0,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1936,802,2024-07-17 07:48:27+00:00,80.0,0.0,112.25,True,96.64135021097046,237,validation,0,1,0,1,1,0.524106601447798,-1.3284985612844553,1,0
kubernetes/kubernetes,165818269,0.127511574074074,0,243,4.0,9.0,0.7777777777777778,326.72273809523807,287.99944444444446,3.0,0.0,0.0,0.5,1938,802,2024-07-17 10:52:04+00:00,81.0,0.0,112.25,True,96.64135021097046,237,validation,1,1,1,1,1,0.524106601447798,-1.3284985612844553,1,0
kubernetes/kubernetes,165829199,0.0410069444444444,0,244,1.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,1.0,0.0,0.0,1.0,1938,802,2024-07-17 11:51:07+00:00,81.0,0.0,112.25,True,96.64135021097046,237,validation,1,0,1,1,1,0.524106601447798,-1.3284985612844553,1,0
kubernetes/kubernetes,169974073,27.080717592592592,0,247,296.0,324.0,0.6203703703703703,559.8841639027087,191.05194444444444,104.0,20.0,0.1923076923076923,0.0574324324324324,1931,802,2024-08-13 13:47:21+00:00,80.0,0.0,112.25,True,96.4602510460251,239,validation,1,1,1,1,1,0.524106601447798,-1.3397055335994577,1,0
kubernetes/kubernetes,170265603,1.349699074074074,0,248,20.0,30.0,0.6666666666666666,268.1768055555555,48.90152777777777,12.0,2.0,0.1666666666666666,0.15,1925,800,2024-08-14 22:10:55+00:00,83.0,0.0,112.25,True,96.4602510460251,239,validation,1,1,1,1,1,0.4877813047298971,-1.3397055335994577,1,0
kubernetes/kubernetes,170275415,0.1281712962962962,0,249,1.0,1.0,0.0,539.7293459222769,145.54541666666665,1.0,0.0,0.0,1.0,1926,801,2024-08-15 01:15:29+00:00,82.0,0.0,112.25,True,96.4602510460251,239,validation,1,1,1,1,1,0.5059439530888475,-1.3397055335994577,1,0
kubernetes/kubernetes,170278324,0.033761574074074,0,250,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1926,801,2024-08-15 02:04:06+00:00,82.0,0.0,112.25,True,96.4602510460251,239,validation,0,0,0,1,1,0.5059439530888475,-1.3397055335994577,1,0
kubernetes/kubernetes,174563931,27.49484953703704,0,251,367.0,419.0,0.6634844868735084,546.4282773780976,102.1886111111111,116.0,29.0,0.25,0.0708446866485013,1941,810,2024-09-11 13:56:41+00:00,90.0,0.0,112.25,True,95.96341463414636,246,validation,1,1,1,1,1,0.6694077883194015,-1.3704512960920145,1,0
kubernetes/kubernetes,174658124,0.4341435185185185,0,252,6.0,9.0,0.4444444444444444,528.5811111111111,353.4533333333333,5.0,1.0,0.2,0.3333333333333333,1938,808,2024-09-12 00:21:51+00:00,93.0,0.0,112.25,True,95.96341463414636,246,validation,1,1,1,1,1,0.6330824916015007,-1.3704512960920145,1,0
kubernetes/kubernetes,174660375,0.0286226851851851,0,253,1.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,1.0,0.0,0.0,1.0,1938,808,2024-09-12 01:03:04+00:00,93.0,0.0,112.25,True,95.96341463414636,246,validation,1,0,1,1,1,0.6330824916015007,-1.3704512960920145,1,0
kubernetes/kubernetes,174668094,0.0779166666666666,0,254,0.0,1.0,1.0,216.71833333333333,216.71833333333333,0.0,0.0,0.13190730837789655,0.1649305555555555,1939,808,2024-09-12 02:55:16+00:00,93.0,0.0,112.25,True,95.96341463414636,246,validation,0,1,0,1,1,0.6330824916015007,-1.3704512960920145,1,0
kubernetes/kubernetes,181359779,41.06927083333333,0,257,589.0,673.0,0.6597325408618128,405.90692505005,76.31833333333333,140.0,26.0,0.1857142857142857,0.0696095076400679,1938,798,2024-10-23 04:35:01+00:00,69.0,0.0,112.25,True,95.68110236220473,254,validation,1,1,1,1,1,0.4514560080119962,-1.3879216461998687,1,0
kubernetes/kubernetes,181359964,0.0017592592592592,0,258,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1938,798,2024-10-23 04:37:33+00:00,69.0,0.0,112.25,True,95.68110236220473,254,validation,0,0,0,1,1,0.4514560080119962,-1.3879216461998687,1,0
kubernetes/kubernetes,181360153,0.001886574074074,0,259,0.0,0.0,0.6733167082294265,539.7293459222769,145.54541666666665,0.0,0.0,0.13190730837789655,0.1649305555555555,1938,798,2024-10-23 04:40:16+00:00,69.0,0.0,112.25,True,95.68110236220473,254,validation,0,0,0,1,1,0.4514560080119962,-1.3879216461998687,1,0
kubernetes/kubernetes,181442196,0.3182754629629629,0,260,8.0,5.0,0.4,477.1609722222223,477.1609722222223,6.0,1.0,0.1666666666666666,0.25,1938,798,2024-10-23 12:18:35+00:00,71.0,0.0,112.25,True,95.68110236220473,254,validation,1,1,1,1,1,0.4514560080119962,-1.3879216461998687,1,0
