repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count
microsoft/vscode,44431897,28.025601851851853,False,14,1573.0,237.0,0.7637130801687764,268.0613060159607,14.238888888888889,65.0,23.0,0.3538461538461538,0.0998092816274634,5390,1320,2021-06-10 17:42:05+00:00,425.0,1.0,381.0,True,435.3333333333333,12
microsoft/vscode,44831232,7.1711226851851855,False,15,392.0,65.0,0.7384615384615385,524.6948263888888,11.919027777777778,41.0,3.0,0.073170731707317,0.1301020408163265,5511,1352,2021-06-17 21:48:30+00:00,381.0,0.0,381.0,True,432.7692307692308,13
microsoft/vscode,45923262,20.839930555555554,False,16,1001.0,121.0,0.8016528925619835,328.6420131729668,11.587777777777777,57.0,18.0,0.3157894736842105,0.1768231768231768,5615,1390,2021-07-08 17:58:00+00:00,293.0,0.0,381.0,True,432.7692307692308,13
microsoft/vscode,46137151,4.965381944444444,False,17,135.0,35.0,0.7714285714285715,51.49741769547325,19.171388888888888,31.0,3.0,0.0967741935483871,0.2,5652,1411,2021-07-13 17:08:09+00:00,276.0,0.0,381.0,True,432.2142857142857,14
microsoft/vscode,46269305,1.972974537037037,False,18,127.0,23.0,0.7391304347826086,57.94821895424837,8.37861111111111,23.0,2.0,0.0869565217391304,0.2125984251968504,5685,1402,2021-07-15 16:29:14+00:00,275.0,0.0,381.0,True,432.2142857142857,14
microsoft/vscode,47380908,21.061921296296298,False,19,769.0,126.0,0.7619047619047619,165.92348958333335,19.57777777777778,59.0,16.0,0.2711864406779661,0.0962288686605981,5823,1433,2021-08-05 17:58:24+00:00,273.0,0.0,381.0,True,428.8,15
microsoft/vscode,48147681,14.200289351851852,False,20,510.0,98.0,0.7346938775510204,90.12407793209876,18.09027777777778,42.0,8.0,0.1904761904761904,0.1156862745098039,5933,1442,2021-08-19 22:46:49+00:00,277.0,0.0,381.0,True,404.22222222222223,18
microsoft/vscode,48909216,13.76119212962963,False,21,499.0,79.0,0.7721518987341772,192.04658469945355,28.210833333333333,51.0,19.0,0.3725490196078431,0.1222444889779559,5987,1455,2021-09-02 17:02:56+00:00,315.0,0.0,381.0,True,404.22222222222223,18
microsoft/vscode,49545491,12.002951388888889,False,22,356.0,80.0,0.6125,142.3092290249433,20.27111111111111,44.0,8.0,0.1818181818181818,0.1601123595505618,6113,1501,2021-09-14 17:07:11+00:00,315.0,0.0,381.0,True,397.3157894736842,19
microsoft/vscode,50724198,19.642881944444444,False,23,742.0,118.0,0.652542372881356,180.8650541125541,12.810555555555556,50.0,13.0,0.26,0.1064690026954177,6170,1544,2021-10-04 08:32:56+00:00,283.0,0.0,381.0,True,387.6666666666667,21
