repository_name,release_id,cycle_length_days,is_prerelease,release_sequence,commit_count,pr_count,pct_merged,avg_time_to_merge_hours,median_time_to_merge_hours,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share,open_issues_at_release,open_bugs_at_release,release_date,bugs_in_window,elevated_risk,risk_threshold_used,window_complete,prior_releases_avg_bugs,prior_releases_count
apache/airflow,137711221,31.745613425925924,False,49,370.0,420.0,0.8976190476190476,70.84789714117301,7.045277777777778,96.0,36.0,0.375,0.227027027027027,756,280,2024-01-19 13:09:58+00:00,81.0,0.0,116.75,True,106.41666666666667,48
apache/airflow,141561153,23.63898148148148,False,50,261.0,281.0,0.8825622775800712,128.25308019713262,8.359027777777778,87.0,32.0,0.367816091954023,0.2452107279693486,740,262,2024-02-12 04:30:06+00:00,99.0,0.0,116.75,True,106.41666666666667,48
apache/airflow,143584450,14.197314814814815,False,51,211.0,238.0,0.8613445378151261,91.84319918699188,6.97,70.0,22.0,0.3142857142857143,0.2654028436018957,746,264,2024-02-26 09:14:14+00:00,93.0,0.0,116.75,True,105.89795918367346,49
apache/airflow,144901174,8.295046296296297,False,52,100.0,136.0,0.8308823529411765,67.43845870206489,8.96888888888889,33.0,7.0,0.2121212121212121,0.25,751,269,2024-03-05 16:19:06+00:00,85.0,0.0,116.75,True,105.89795918367346,49
apache/airflow,145826375,5.857349537037037,False,53,86.0,91.0,0.8461538461538461,106.20807720057722,7.552777777777778,38.0,8.0,0.2105263157894736,0.2325581395348837,752,276,2024-03-11 12:53:41+00:00,82.0,0.0,116.75,True,105.89795918367346,49
apache/airflow,148320674,14.282731481481482,False,54,273.0,326.0,0.8895705521472392,86.12781800766284,7.794722222222222,51.0,15.0,0.2941176470588235,0.2893772893772894,744,264,2024-03-25 19:40:49+00:00,84.0,0.0,116.75,True,105.76,50
apache/airflow,148331227,0.0315856481481481,False,55,0.0,2.0,1.0,9.073611111111111,9.073611111111111,0.0,0.0,,,744,264,2024-03-25 20:26:18+00:00,84.0,0.0,116.75,True,105.76,50
apache/airflow,150204794,13.656041666666669,False,56,226.0,277.0,0.8592057761732852,127.19749066293184,9.395555555555555,50.0,9.0,0.18,0.2345132743362832,743,257,2024-04-08 12:11:00+00:00,85.0,0.0,116.75,True,105.11538461538461,52
apache/airflow,154380741,27.930497685185184,False,57,332.0,396.0,0.8484848484848485,160.68619543650794,18.808194444444446,81.0,22.0,0.2716049382716049,0.144578313253012,780,269,2024-05-06 10:30:55+00:00,100.0,0.0,116.75,True,103.92727272727272,55
apache/airflow,159644151,35.019108796296294,False,58,418.0,470.0,0.8808510638297873,109.64628488996243,10.681111111111111,107.0,36.0,0.3364485981308411,0.1555023923444976,800,290,2024-06-10 10:58:26+00:00,83.0,0.0,116.75,True,103.52631578947368,57
apache/airflow,161181480,8.560844907407407,False,59,89.0,88.0,0.8863636363636364,121.61683404558403,21.279027777777777,50.0,16.0,0.32,0.1348314606741573,808,296,2024-06-19 00:26:03+00:00,72.0,0.0,116.75,True,103.52631578947368,57
apache/airflow,165625182,27.461678240740746,False,60,253.0,311.0,0.8553054662379421,161.31657894736844,12.906527777777779,87.0,33.0,0.3793103448275862,0.150197628458498,833,299,2024-07-16 11:30:52+00:00,101.0,0.0,116.75,True,103.17241379310344,58
apache/airflow,166897846,8.051875,False,61,104.0,114.0,0.8421052631578947,73.70849537037037,11.57875,43.0,9.0,0.2093023255813953,0.1634615384615384,845,309,2024-07-24 12:45:34+00:00,110.0,0.0,116.75,True,102.64406779661017,59
apache/airflow,170458696,22.54724537037037,False,62,295.0,373.0,0.8337801608579088,116.73307341907824,7.059444444444445,73.0,23.0,0.3150684931506849,0.2203389830508474,837,333,2024-08-16 01:53:36+00:00,117.0,1.0,116.75,True,102.61666666666666,60
apache/airflow,173821517,21.40041666666667,False,63,227.0,365.0,0.8191780821917808,124.46626347082868,16.231666666666666,71.0,23.0,0.323943661971831,0.1101321585903083,879,355,2024-09-06 11:30:12+00:00,78.0,0.0,116.75,True,102.73770491803279,61
apache/airflow,176198865,14.479872685185184,False,64,143.0,195.0,0.8461538461538461,88.61849326599327,9.768055555555556,65.0,30.0,0.4615384615384615,0.0699300699300699,951,370,2024-09-20 23:01:13+00:00,73.0,0.0,116.75,True,102.96774193548387,62
apache/airflow,183601125,45.634733796296295,False,65,669.0,885.0,0.8440677966101695,82.68443775100401,10.549722222222222,139.0,63.0,0.4532374100719424,0.1225710014947683,1017,349,2024-11-05 14:15:14+00:00,73.0,0.0,116.75,True,102.109375,64
apache/airflow,190940307,40.93407407407408,False,66,748.0,871.0,0.8714121699196326,80.79163812033377,9.461944444444445,111.0,33.0,0.2972972972972973,0.0962566844919786,1061,350,2024-12-16 12:40:18+00:00,56.0,0.0,116.75,True,101.66153846153846,65
apache/airflow,199381500,56.05417824074074,False,67,868.0,1071.0,0.8627450980392157,93.95069023569025,8.485833333333334,124.0,46.0,0.3709677419354839,0.1324884792626728,1103,339,2025-02-10 13:58:19+00:00,147.0,1.0,116.75,True,100.96969696969697,66
