release_id,distinct_contributors,first_time_contributor_count,first_time_contributor_share,top_contributor_share
77034280,36,4,0.1111111111111111,0.14241486068111456
77323275,25,2,0.08,0.1724137931034483
79195907,58,16,0.27586206896551724,0.14427157001414428
79559974,28,3,0.10714285714285714,0.17164179104477612
81875229,67,15,0.22388059701492538,0.20765832106038293
82594810,40,8,0.2,0.12444444444444444
85353072,77,27,0.35064935064935066,0.0963855421686747
86140126,46,10,0.21739130434782608,0.12297734627831715
79815982,0,0,,
86689083,31,4,0.12903225806451613,0.25853658536585367
88483006,37,4,0.10810810810810811,0.3148558758314856
91182971,53,15,0.2830188679245283,0.15651135005973715
91935081,30,5,0.16666666666666666,0.1858974358974359
94139371,49,11,0.22448979591836735,0.14100486223662884
95113631,38,7,0.18421052631578946,0.16167664670658682
95724132,34,4,0.11764705882352941,0.22404371584699453
97531004,53,13,0.24528301886792453,0.1480978260869565
98217566,28,1,0.03571428571428571,0.22844827586206898
98954070,31,4,0.12903225806451613,0.24043715846994534
99179067,14,1,0.07142857142857142,0.2127659574468085
101788867,48,11,0.22916666666666666,0.17623497997329773
102384496,26,1,0.038461538461538464,0.2962962962962963
102722107,35,3,0.08571428571428572,0.13450292397660818
107875358,66,16,0.24242424242424243,0.17550274223034734
108419575,27,0,0.0,0.18064516129032257
108764918,21,1,0.047619047619047616,0.2127659574468085
111301684,55,12,0.21818181818181817,0.1920374707259953
112148927,29,4,0.13793103448275862,0.20216606498194944
113907434,45,7,0.15555555555555556,0.2540322580645161
115015295,30,0,0.0,0.20606060606060606
115963844,32,3,0.09375,0.20481927710843373
120333378,64,16,0.25,0.1663961038961039
120835552,27,1,0.037037037037037035,0.13592233009708737
121480572,34,5,0.14705882352941177,0.16541353383458646
123355143,42,3,0.07142857142857142,0.21063829787234042
123736439,22,0,0.0,0.1893939393939394
124696615,42,9,0.21428571428571427,0.1975806451612903
127569793,50,6,0.12,0.17780580075662042
128197191,29,1,0.034482758620689655,0.25157232704402516
132979603,77,26,0.33766233766233766,0.15801526717557252
133791083,31,3,0.0967741935483871,0.20212765957446807
135728221,53,13,0.24528301886792453,0.15081967213114755
137595644,45,11,0.24444444444444444,0.12702078521939955
139501858,47,8,0.1702127659574468,0.10602409638554217
140525002,41,9,0.21951219512195122,0.11627906976744186
142158503,33,4,0.12121212121212122,0.1893687707641196
144055742,43,5,0.11627906976744186,0.1324200913242009
145323317,34,3,0.08823529411764706,0.21212121212121213
146100846,31,3,0.0967741935483871,0.21739130434782608
149814200,67,19,0.2835820895522388,0.24435721295387636
150797079,36,7,0.19444444444444445,0.22083333333333333
153873284,46,8,0.17391304347826086,0.34811165845648606
154983536,29,1,0.034482758620689655,0.23204419889502761
159075980,54,9,0.16666666666666666,0.11834319526627218
160346297,31,2,0.06451612903225806,0.14788732394366197
161326740,29,1,0.034482758620689655,0.1557377049180328
163868610,44,8,0.18181818181818182,0.10975609756097561
165004015,32,4,0.125,0.11242603550295859
168291552,57,16,0.2807017543859649,0.33276450511945393
169369196,33,2,0.06060606060606061,0.31363636363636366
170407271,37,2,0.05405405405405406,0.1483050847457627
173695787,51,7,0.13725490196078433,0.20294117647058824
174811451,35,2,0.05714285714285714,0.15481171548117154
178259340,51,9,0.17647058823529413,0.16065192083818394
178954173,27,3,0.1111111111111111,0.1450381679389313
179341265,14,1,0.07142857142857142,0.18518518518518517
182523912,47,11,0.23404255319148937,0.16015625
183016531,27,1,0.037037037037037035,0.2740740740740741
184258993,24,1,0.041666666666666664,0.3360655737704918
185530462,27,1,0.037037037037037035,0.21875
190282879,53,12,0.22641509433962265,0.13636363636363635
191500700,42,11,0.2619047619047619,0.1111111111111111
191730414,19,0,0.0,0.125
194435633,41,7,0.17073170731707318,0.16494845360824742
195234780,26,3,0.11538461538461539,0.13274336283185842
198877577,51,6,0.11764705882352941,0.20367936925098554
199679394,30,7,0.23333333333333334,0.27586206896551724
200205683,31,2,0.06451612903225806,0.2
203925835,50,9,0.18,0.12135355892648775
204834300,24,1,0.041666666666666664,0.21153846153846154
205645537,32,2,0.0625,0.21232876712328766
210233021,57,12,0.21052631578947367,0.11715089034676664
211083770,24,2,0.08333333333333333,0.21008403361344538
211624742,24,0,0.0,0.14285714285714285
212878238,38,5,0.13157894736842105,0.20242914979757085
217393079,58,15,0.25862068965517243,0.28292682926829266
218344785,26,2,0.07692307692307693,0.1834319526627219
218911884,22,1,0.045454545454545456,0.16666666666666666
222843338,46,8,0.17391304347826086,0.12301587301587301
224972643,46,8,0.17391304347826086,0.15625
226503146,34,5,0.14705882352941177,0.17073170731707318
227783908,30,1,0.03333333333333333,0.13076923076923078
231562545,60,15,0.25,0.09465020576131687
232881520,64,22,0.34375,0.13857677902621723
234641159,45,8,0.17777777777777778,0.21897810218978103
236028045,42,6,0.14285714285714285,0.109717868338558
238393156,54,5,0.09259259259259259,0.28932038834951457
239780431,40,8,0.2,0.3743016759776536
241618186,52,7,0.1346153846153846,0.17142857142857143
246491048,62,7,0.11290322580645161,0.08901515151515152
248155319,33,3,0.09090909090909091,0.13095238095238096
250226077,54,8,0.14814814814814814,0.10472972972972973
251802178,44,2,0.045454545454545456,0.10256410256410256
253418659,54,10,0.18518518518518517,0.23587223587223588
254828317,50,4,0.08,0.1950354609929078
261850326,80,11,0.1375,0.1464397671294223
263105607,48,1,0.020833333333333332,0.13664596273291926
263768428,33,0,0.0,0.11299435028248588
265439624,49,4,0.08163265306122448,0.13734939759036144
269240526,63,12,0.19047619047619047,0.11390887290167866
271252851,63,13,0.20634920634920634,0.12633832976445397
275307407,59,12,0.2033898305084746,0.26571428571428574
277418115,63,10,0.15873015873015872,0.10427350427350428
279512009,61,10,0.16393442622950818,0.07622298065984073
283135054,64,4,0.0625,0.0792520035618878
284958517,52,3,0.057692307692307696,0.1010989010989011
285081339,20,1,0.05,0.25333333333333335
288512678,67,12,0.1791044776119403,0.1138121546961326
293129552,66,11,0.16666666666666666,0.1324456902592852
294156116,43,3,0.06976744186046512,0.1524163568773234
294646386,15,0,0.0,0.21052631578947367
298469024,64,9,0.140625,0.117797695262484
301163165,60,9,0.15,0.10841836734693877
304148026,61,8,0.13114754098360656,0.09644670050761421
306501291,57,5,0.08771929824561403,0.11411992263056092
309286222,59,7,0.11864406779661017,0.093603744149766
309915674,39,2,0.05128205128205128,0.2866666666666667
311091911,42,1,0.023809523809523808,0.11926605504587157
312162617,35,0,0.0,0.1932367149758454
312919206,37,1,0.02702702702702703,0.1542056074766355
315116361,57,6,0.10526315789473684,0.10220994475138122
315998060,34,1,0.029411764705882353,0.3251231527093596
318254349,59,6,0.1016949152542373,0.12886597938144329
321341220,65,10,0.15384615384615385,0.11558669001751314
321722534,25,0,0.0,0.10909090909090909
325804905,50,6,0.12,0.1400862068965517
330727311,53,9,0.16981132075471697,0.08971553610503283
331516246,29,0,0.0,0.11940298507462686
334826672,57,7,0.12280701754385964,0.13659793814432988
337124757,47,6,0.1276595744680851,0.11475409836065574
337125364,0,0,,
337262896,8,2,0.25,0.2857142857142857
338369768,36,1,0.027777777777777776,0.18620689655172415
340858462,45,1,0.022222222222222223,0.1624548736462094
344104988,55,9,0.16363636363636364,0.10817307692307693
347353206,46,1,0.021739130434782608,0.10642570281124498
350789479,51,6,0.11764705882352941,0.11253196930946291
354067098,53,8,0.1509433962264151,0.11139240506329114
354739843,30,3,0.1,0.12631578947368421
355932954,31,1,0.03225806451612903,0.2204724409448819
